"time","agua.mean_Calidad","agua.mean_Caudal","agua.mean_aguaTinaco","agua.mean_aguacisterna"
"2022-07-03T21:00:00.000-05:00",,,,
"2022-07-03T23:00:00.000-05:00",,,,
"2022-07-04T01:00:00.000-05:00",,,,
"2022-07-04T03:00:00.000-05:00",,,,
"2022-07-04T05:00:00.000-05:00",,,,
"2022-07-04T07:00:00.000-05:00",,,,
"2022-07-04T09:00:00.000-05:00",,,,
"2022-07-04T11:00:00.000-05:00",,,,
"2022-07-04T13:00:00.000-05:00",,,,
"2022-07-04T15:00:00.000-05:00",,,,
"2022-07-04T17:00:00.000-05:00",,,,
"2022-07-04T19:00:00.000-05:00",,,,
"2022-07-04T21:00:00.000-05:00",,,,
"2022-07-04T23:00:00.000-05:00",,,,
"2022-07-05T01:00:00.000-05:00",,,,
"2022-07-05T03:00:00.000-05:00",,,,
"2022-07-05T05:00:00.000-05:00",,,,
"2022-07-05T07:00:00.000-05:00",,,,
"2022-07-05T09:00:00.000-05:00",,,,
"2022-07-05T11:00:00.000-05:00",,,,
"2022-07-05T13:00:00.000-05:00",,,,
"2022-07-05T15:00:00.000-05:00",,,,
"2022-07-05T17:00:00.000-05:00",,,,
"2022-07-05T19:00:00.000-05:00",,,,
"2022-07-05T21:00:00.000-05:00",,,,
"2022-07-05T23:00:00.000-05:00",,,,
"2022-07-06T01:00:00.000-05:00",,,,
"2022-07-06T03:00:00.000-05:00",,,,
"2022-07-06T05:00:00.000-05:00",,,,
"2022-07-06T07:00:00.000-05:00",,,,
"2022-07-06T09:00:00.000-05:00",,,,
"2022-07-06T11:00:00.000-05:00",,,,
"2022-07-06T13:00:00.000-05:00",,,,
"2022-07-06T15:00:00.000-05:00",,,,
"2022-07-06T17:00:00.000-05:00",,,,
"2022-07-06T19:00:00.000-05:00",,,,
"2022-07-06T21:00:00.000-05:00",,,,
"2022-07-06T23:00:00.000-05:00",,,,
"2022-07-07T01:00:00.000-05:00",,,,
"2022-07-07T03:00:00.000-05:00",,,,
"2022-07-07T05:00:00.000-05:00",,,,
"2022-07-07T07:00:00.000-05:00",,,,
"2022-07-07T09:00:00.000-05:00",,,,
"2022-07-07T11:00:00.000-05:00",,,,
"2022-07-07T13:00:00.000-05:00",,,,
"2022-07-07T15:00:00.000-05:00",,,,
"2022-07-07T17:00:00.000-05:00",,,,
"2022-07-07T19:00:00.000-05:00",,,,
"2022-07-07T21:00:00.000-05:00",,,,
"2022-07-07T23:00:00.000-05:00",,,,
"2022-07-08T01:00:00.000-05:00",,,,
"2022-07-08T03:00:00.000-05:00",,,,
"2022-07-08T05:00:00.000-05:00",,,,
"2022-07-08T07:00:00.000-05:00",,,,
"2022-07-08T09:00:00.000-05:00",,,,
"2022-07-08T11:00:00.000-05:00",,,,
"2022-07-08T13:00:00.000-05:00",,,,
"2022-07-08T15:00:00.000-05:00",,,,
"2022-07-08T17:00:00.000-05:00",,,,
"2022-07-08T19:00:00.000-05:00",,,,
"2022-07-08T21:00:00.000-05:00",,,,
"2022-07-08T23:00:00.000-05:00",,,,
"2022-07-09T01:00:00.000-05:00",,,,
"2022-07-09T03:00:00.000-05:00",,,,
"2022-07-09T05:00:00.000-05:00",,,,
"2022-07-09T07:00:00.000-05:00",,,,
"2022-07-09T09:00:00.000-05:00",,,,
"2022-07-09T11:00:00.000-05:00",,,,
"2022-07-09T13:00:00.000-05:00",,,,
"2022-07-09T15:00:00.000-05:00",,,,
"2022-07-09T17:00:00.000-05:00",,,,
"2022-07-09T19:00:00.000-05:00",,,,
"2022-07-09T21:00:00.000-05:00",,,,
"2022-07-09T23:00:00.000-05:00",,,,
"2022-07-10T01:00:00.000-05:00",,,,
"2022-07-10T03:00:00.000-05:00",,,,
"2022-07-10T05:00:00.000-05:00",,,,
"2022-07-10T07:00:00.000-05:00",,,,
"2022-07-10T09:00:00.000-05:00",,,,
"2022-07-10T11:00:00.000-05:00",,,,
"2022-07-10T13:00:00.000-05:00",,,,
"2022-07-10T15:00:00.000-05:00",,,,
"2022-07-10T17:00:00.000-05:00",,,,
"2022-07-10T19:00:00.000-05:00",,,,
"2022-07-10T21:00:00.000-05:00",,,,
"2022-07-10T23:00:00.000-05:00",,,,
"2022-07-11T01:00:00.000-05:00",,,,
"2022-07-11T03:00:00.000-05:00",,,,
"2022-07-11T05:00:00.000-05:00",,,,
"2022-07-11T07:00:00.000-05:00",,,,
"2022-07-11T09:00:00.000-05:00",,,,
"2022-07-11T11:00:00.000-05:00",,,,
"2022-07-11T13:00:00.000-05:00",,,,
"2022-07-11T15:00:00.000-05:00",,,,
"2022-07-11T17:00:00.000-05:00",,,,
"2022-07-11T19:00:00.000-05:00",,,,
"2022-07-11T21:00:00.000-05:00",,,,
"2022-07-11T23:00:00.000-05:00",,,,
"2022-07-12T01:00:00.000-05:00",,,,
"2022-07-12T03:00:00.000-05:00",,,,
"2022-07-12T05:00:00.000-05:00",,,,
"2022-07-12T07:00:00.000-05:00",,,,
"2022-07-12T09:00:00.000-05:00",,,,
"2022-07-12T11:00:00.000-05:00",,,,
"2022-07-12T13:00:00.000-05:00",,,,
"2022-07-12T15:00:00.000-05:00",,,,
"2022-07-12T17:00:00.000-05:00",,,,
"2022-07-12T19:00:00.000-05:00",,,,
"2022-07-12T21:00:00.000-05:00",,,,
"2022-07-12T23:00:00.000-05:00",,,,
"2022-07-13T01:00:00.000-05:00",,,,
"2022-07-13T03:00:00.000-05:00",,,,
"2022-07-13T05:00:00.000-05:00",,,,
"2022-07-13T07:00:00.000-05:00",,,,
"2022-07-13T09:00:00.000-05:00",,,,
"2022-07-13T11:00:00.000-05:00",,,,
"2022-07-13T13:00:00.000-05:00",,,,
"2022-07-13T15:00:00.000-05:00",,,,
"2022-07-13T17:00:00.000-05:00",,,,
"2022-07-13T19:00:00.000-05:00",,,,
"2022-07-13T21:00:00.000-05:00",,,,
"2022-07-13T23:00:00.000-05:00",,,,
"2022-07-14T01:00:00.000-05:00",,,,
"2022-07-14T03:00:00.000-05:00",,,,
"2022-07-14T05:00:00.000-05:00",,,,
"2022-07-14T07:00:00.000-05:00",,,,
"2022-07-14T09:00:00.000-05:00",,,,
"2022-07-14T11:00:00.000-05:00",,,,
"2022-07-14T13:00:00.000-05:00",,,,
"2022-07-14T15:00:00.000-05:00",,,,
"2022-07-14T17:00:00.000-05:00",,,,
"2022-07-14T19:00:00.000-05:00",,,,
"2022-07-14T21:00:00.000-05:00",,,,
"2022-07-14T23:00:00.000-05:00",,,,
"2022-07-15T01:00:00.000-05:00",,,,
"2022-07-15T03:00:00.000-05:00",,,,
"2022-07-15T05:00:00.000-05:00",,,,
"2022-07-15T07:00:00.000-05:00",,,,
"2022-07-15T09:00:00.000-05:00",,,,
"2022-07-15T11:00:00.000-05:00",,,,
"2022-07-15T13:00:00.000-05:00",,,,
"2022-07-15T15:00:00.000-05:00",,,,
"2022-07-15T17:00:00.000-05:00",,,,
"2022-07-15T19:00:00.000-05:00",,,,
"2022-07-15T21:00:00.000-05:00",,,,
"2022-07-15T23:00:00.000-05:00",,,,
"2022-07-16T01:00:00.000-05:00",,,,
"2022-07-16T03:00:00.000-05:00",,,,
"2022-07-16T05:00:00.000-05:00",,,,
"2022-07-16T07:00:00.000-05:00",,,,
"2022-07-16T09:00:00.000-05:00",,,,
"2022-07-16T11:00:00.000-05:00",,,,
"2022-07-16T13:00:00.000-05:00",,,,
"2022-07-16T15:00:00.000-05:00",,,,
"2022-07-16T17:00:00.000-05:00",,,,
"2022-07-16T19:00:00.000-05:00",,,,
"2022-07-16T21:00:00.000-05:00",,,,
"2022-07-16T23:00:00.000-05:00",,,,
"2022-07-17T01:00:00.000-05:00",,,,
"2022-07-17T03:00:00.000-05:00",,,,
"2022-07-17T05:00:00.000-05:00",,,,
"2022-07-17T07:00:00.000-05:00",,,,
"2022-07-17T09:00:00.000-05:00",,,,
"2022-07-17T11:00:00.000-05:00",,,,
"2022-07-17T13:00:00.000-05:00",,,,
"2022-07-17T15:00:00.000-05:00",,,,
"2022-07-17T17:00:00.000-05:00",,,,
"2022-07-17T19:00:00.000-05:00",,,,
"2022-07-17T21:00:00.000-05:00",,,,
"2022-07-17T23:00:00.000-05:00",,,,
"2022-07-18T01:00:00.000-05:00",,,,
"2022-07-18T03:00:00.000-05:00",,,,
"2022-07-18T05:00:00.000-05:00",,,,
"2022-07-18T07:00:00.000-05:00",,,,
"2022-07-18T09:00:00.000-05:00",,,,
"2022-07-18T11:00:00.000-05:00",,,,
"2022-07-18T13:00:00.000-05:00",,,,
"2022-07-18T15:00:00.000-05:00",,,,
"2022-07-18T17:00:00.000-05:00",,,,
"2022-07-18T19:00:00.000-05:00",,,,
"2022-07-18T21:00:00.000-05:00",,,,
"2022-07-18T23:00:00.000-05:00",,,,
"2022-07-19T01:00:00.000-05:00",,,,
"2022-07-19T03:00:00.000-05:00",,,,
"2022-07-19T05:00:00.000-05:00",,,,
"2022-07-19T07:00:00.000-05:00",,,,
"2022-07-19T09:00:00.000-05:00",,,,
"2022-07-19T11:00:00.000-05:00",,,,
"2022-07-19T13:00:00.000-05:00",,,,
"2022-07-19T15:00:00.000-05:00",,,,
"2022-07-19T17:00:00.000-05:00",,,,
"2022-07-19T19:00:00.000-05:00",,,,
"2022-07-19T21:00:00.000-05:00",,,,
"2022-07-19T23:00:00.000-05:00",,,,
"2022-07-20T01:00:00.000-05:00",,,,
"2022-07-20T03:00:00.000-05:00",,,,
"2022-07-20T05:00:00.000-05:00",,,,
"2022-07-20T07:00:00.000-05:00",,,,
"2022-07-20T09:00:00.000-05:00",,,,
"2022-07-20T11:00:00.000-05:00",,,,
"2022-07-20T13:00:00.000-05:00",,,,
"2022-07-20T15:00:00.000-05:00",,,,
"2022-07-20T17:00:00.000-05:00",,,,
"2022-07-20T19:00:00.000-05:00",,,,
"2022-07-20T21:00:00.000-05:00",,,,
"2022-07-20T23:00:00.000-05:00",,,,
"2022-07-21T01:00:00.000-05:00",,,,
"2022-07-21T03:00:00.000-05:00",,,,
"2022-07-21T05:00:00.000-05:00",,,,
"2022-07-21T07:00:00.000-05:00",,,,
"2022-07-21T09:00:00.000-05:00",,,,
"2022-07-21T11:00:00.000-05:00",,,,
"2022-07-21T13:00:00.000-05:00",,,,
"2022-07-21T15:00:00.000-05:00","258.42458041774086","1.7054953560371517","120.71766848816029","432.7067901234568"
"2022-07-21T17:00:00.000-05:00",,,,
"2022-07-21T19:00:00.000-05:00",,,,
"2022-07-21T21:00:00.000-05:00",,,,
"2022-07-21T23:00:00.000-05:00",,,,
"2022-07-22T01:00:00.000-05:00",,,,
"2022-07-22T03:00:00.000-05:00",,,,
"2022-07-22T05:00:00.000-05:00",,,,
"2022-07-22T07:00:00.000-05:00",,,,
"2022-07-22T09:00:00.000-05:00",,,,
"2022-07-22T11:00:00.000-05:00",,,,
"2022-07-22T13:00:00.000-05:00",,,,
"2022-07-22T15:00:00.000-05:00",,,,
"2022-07-22T17:00:00.000-05:00",,,,
"2022-07-22T19:00:00.000-05:00",,,,
"2022-07-22T21:00:00.000-05:00",,,,
"2022-07-22T23:00:00.000-05:00",,,,
"2022-07-23T01:00:00.000-05:00",,,,
"2022-07-23T03:00:00.000-05:00",,,,
"2022-07-23T05:00:00.000-05:00",,,,
"2022-07-23T07:00:00.000-05:00",,,,
"2022-07-23T09:00:00.000-05:00","84.62385881777283","4.312839805825241","31.698513976127536","-16.135922330097088"
"2022-07-23T11:00:00.000-05:00","238.33898305084745","0.2416666666666667","61.530663329161456","70"
"2022-07-23T13:00:00.000-05:00","69.45148443478952","1.0095579710144928","24.992253209384597","37.41488238362403"
"2022-07-23T15:00:00.000-05:00","297.89628493524197","3.594689689689683","60.08150497841218","-29.653403403403402"
"2022-07-23T17:00:00.000-05:00",,,,
"2022-07-23T19:00:00.000-05:00",,,,
"2022-07-23T21:00:00.000-05:00",,,,
"2022-07-23T23:00:00.000-05:00",,,,
"2022-07-24T01:00:00.000-05:00",,,,
"2022-07-24T03:00:00.000-05:00",,,,
"2022-07-24T05:00:00.000-05:00",,,,
"2022-07-24T07:00:00.000-05:00",,,,
"2022-07-24T09:00:00.000-05:00",,,,
"2022-07-24T11:00:00.000-05:00",,,,
"2022-07-24T13:00:00.000-05:00",,,,
"2022-07-24T15:00:00.000-05:00",,,,
"2022-07-24T17:00:00.000-05:00",,,,
"2022-07-24T19:00:00.000-05:00",,,,
"2022-07-24T21:00:00.000-05:00",,,,
"2022-07-24T23:00:00.000-05:00",,,,
"2022-07-25T01:00:00.000-05:00",,,,
"2022-07-25T03:00:00.000-05:00",,,,
"2022-07-25T05:00:00.000-05:00",,,,
"2022-07-25T07:00:00.000-05:00",,,,
"2022-07-25T09:00:00.000-05:00",,,,
"2022-07-25T11:00:00.000-05:00",,,,
"2022-07-25T13:00:00.000-05:00",,,,
"2022-07-25T15:00:00.000-05:00",,,,
"2022-07-25T17:00:00.000-05:00",,,,
"2022-07-25T19:00:00.000-05:00",,,,
"2022-07-25T21:00:00.000-05:00",,,,
"2022-07-25T23:00:00.000-05:00",,,,
"2022-07-26T01:00:00.000-05:00",,,,
"2022-07-26T03:00:00.000-05:00",,,,
"2022-07-26T05:00:00.000-05:00",,,,
"2022-07-26T07:00:00.000-05:00",,,,
"2022-07-26T09:00:00.000-05:00",,,,
"2022-07-26T11:00:00.000-05:00",,,,
"2022-07-26T13:00:00.000-05:00",,,,
"2022-07-26T15:00:00.000-05:00",,,,
"2022-07-26T17:00:00.000-05:00",,,,
"2022-07-26T19:00:00.000-05:00",,,,
"2022-07-26T21:00:00.000-05:00",,,,
"2022-07-26T23:00:00.000-05:00",,,,
"2022-07-27T01:00:00.000-05:00",,,,
"2022-07-27T03:00:00.000-05:00",,,,
"2022-07-27T05:00:00.000-05:00",,,,
"2022-07-27T07:00:00.000-05:00",,,,
"2022-07-27T09:00:00.000-05:00",,,,
"2022-07-27T11:00:00.000-05:00",,,,
"2022-07-27T13:00:00.000-05:00",,,,
"2022-07-27T15:00:00.000-05:00",,,,
"2022-07-27T17:00:00.000-05:00",,,,
"2022-07-27T19:00:00.000-05:00",,,,
"2022-07-27T21:00:00.000-05:00",,,,
"2022-07-27T23:00:00.000-05:00",,,,
"2022-07-28T01:00:00.000-05:00",,,,
"2022-07-28T03:00:00.000-05:00",,,,
"2022-07-28T05:00:00.000-05:00",,,,
"2022-07-28T07:00:00.000-05:00",,,,
"2022-07-28T09:00:00.000-05:00",,,,
"2022-07-28T11:00:00.000-05:00",,,,
"2022-07-28T13:00:00.000-05:00",,,,
"2022-07-28T15:00:00.000-05:00",,,,
"2022-07-28T17:00:00.000-05:00",,,,
"2022-07-28T19:00:00.000-05:00",,,,
"2022-07-28T21:00:00.000-05:00",,,,
"2022-07-28T23:00:00.000-05:00",,,,
"2022-07-29T01:00:00.000-05:00",,,,
"2022-07-29T03:00:00.000-05:00",,,,
"2022-07-29T05:00:00.000-05:00",,,,
"2022-07-29T07:00:00.000-05:00",,,,
"2022-07-29T09:00:00.000-05:00",,,,
"2022-07-29T11:00:00.000-05:00",,,,
"2022-07-29T13:00:00.000-05:00",,,,
"2022-07-29T15:00:00.000-05:00",,,,
"2022-07-29T17:00:00.000-05:00",,,,
"2022-07-29T19:00:00.000-05:00",,,,
"2022-07-29T21:00:00.000-05:00",,,,
"2022-07-29T23:00:00.000-05:00",,,,
"2022-07-30T01:00:00.000-05:00",,,,
"2022-07-30T03:00:00.000-05:00",,,,
"2022-07-30T05:00:00.000-05:00",,,,
"2022-07-30T07:00:00.000-05:00",,,,
"2022-07-30T09:00:00.000-05:00",,,,
"2022-07-30T11:00:00.000-05:00",,,,
"2022-07-30T13:00:00.000-05:00",,,,
"2022-07-30T15:00:00.000-05:00",,,,
"2022-07-30T17:00:00.000-05:00",,,,
"2022-07-30T19:00:00.000-05:00",,,,
"2022-07-30T21:00:00.000-05:00",,,,
"2022-07-30T23:00:00.000-05:00",,,,
"2022-07-31T01:00:00.000-05:00",,,,
"2022-07-31T03:00:00.000-05:00",,,,
"2022-07-31T05:00:00.000-05:00",,,,
"2022-07-31T07:00:00.000-05:00",,,,
"2022-07-31T09:00:00.000-05:00",,,,
"2022-07-31T11:00:00.000-05:00",,,,
"2022-07-31T13:00:00.000-05:00",,,,
"2022-07-31T15:00:00.000-05:00",,,,
"2022-07-31T17:00:00.000-05:00","260","23.400000000000002","12.5","65.89285714285714"
"2022-07-31T19:00:00.000-05:00",,,,
"2022-07-31T21:00:00.000-05:00",,,,
"2022-07-31T23:00:00.000-05:00",,,,
"2022-08-01T01:00:00.000-05:00",,,,
"2022-08-01T03:00:00.000-05:00",,,,
"2022-08-01T05:00:00.000-05:00",,,,
"2022-08-01T07:00:00.000-05:00",,,,
"2022-08-01T09:00:00.000-05:00",,,,
"2022-08-01T11:00:00.000-05:00",,,,
"2022-08-01T13:00:00.000-05:00",,,,
"2022-08-01T15:00:00.000-05:00",,,,
"2022-08-01T17:00:00.000-05:00",,,,
"2022-08-01T19:00:00.000-05:00",,,,
"2022-08-01T21:00:00.000-05:00",,,,
"2022-08-01T23:00:00.000-05:00",,,,
"2022-08-02T01:00:00.000-05:00",,,,
"2022-08-02T03:00:00.000-05:00",,,,
"2022-08-02T05:00:00.000-05:00",,,,
"2022-08-02T07:00:00.000-05:00",,,,
"2022-08-02T09:00:00.000-05:00",,,,
"2022-08-02T11:00:00.000-05:00",,,,
"2022-08-02T13:00:00.000-05:00",,,,
"2022-08-02T15:00:00.000-05:00",,,,
"2022-08-02T17:00:00.000-05:00",,,,
"2022-08-02T19:00:00.000-05:00",,,,
"2022-08-02T21:00:00.000-05:00",,,,